Local area,Department,Year,Request_Count
Arbutus Ridge,ENG - Streets Operations,2023,290
Arbutus Ridge,ENG - Streets Operations,2024,379
Arbutus Ridge,ENG - Streets Operations,2025,338
Arbutus Ridge,ENG - Traffic and Electrical Operations and Design,2023,162
Arbutus Ridge,ENG - Traffic and Electrical Operations and Design,2024,189
Arbutus Ridge,ENG - Traffic and Electrical Operations and Design,2025,189
Arbutus Ridge,ENG - Waterworks Operations,2023,92
Arbutus Ridge,ENG - Waterworks Operations,2024,125
Arbutus Ridge,ENG - Waterworks Operations,2025,144
Arbutus Ridge,PR - Urban Forestry,2023,302
Arbutus Ridge,PR - Urban Forestry,2024,308
Arbutus Ridge,PR - Urban Forestry,2025,306
Downtown,ENG - Streets Operations,2023,2124
Downtown,ENG - Streets Operations,2024,1575
Downtown,ENG - Streets Operations,2025,893
Downtown,ENG - Traffic and Electrical Operations and Design,2023,607
Downtown,ENG - Traffic and Electrical Operations and Design,2024,595
Downtown,ENG - Traffic and Electrical Operations and Design,2025,595
Downtown,ENG - Waterworks Operations,2023,159
Downtown,ENG - Waterworks Operations,2024,229
Downtown,ENG - Waterworks Operations,2025,216
Downtown,PR - Urban Forestry,2023,405
Downtown,PR - Urban Forestry,2024,509
Downtown,PR - Urban Forestry,2025,534
Dunbar-Southlands,ENG - Streets Operations,2023,411
Dunbar-Southlands,ENG - Streets Operations,2024,475
Dunbar-Southlands,ENG - Streets Operations,2025,457
Dunbar-Southlands,ENG - Traffic and Electrical Operations and Design,2023,214
Dunbar-Southlands,ENG - Traffic and Electrical Operations and Design,2024,197
Dunbar-Southlands,ENG - Traffic and Electrical Operations and Design,2025,223
Dunbar-Southlands,ENG - Waterworks Operations,2023,183
Dunbar-Southlands,ENG - Waterworks Operations,2024,190
Dunbar-Southlands,ENG - Waterworks Operations,2025,214
Dunbar-Southlands,PR - Urban Forestry,2023,503
Dunbar-Southlands,PR - Urban Forestry,2024,532
Dunbar-Southlands,PR - Urban Forestry,2025,586
Fairview,ENG - Streets Operations,2023,683
Fairview,ENG - Streets Operations,2024,708
Fairview,ENG - Streets Operations,2025,538
Fairview,ENG - Traffic and Electrical Operations and Design,2023,365
Fairview,ENG - Traffic and Electrical Operations and Design,2024,392
Fairview,ENG - Traffic and Electrical Operations and Design,2025,422
Fairview,ENG - Waterworks Operations,2023,104
Fairview,ENG - Waterworks Operations,2024,135
